n,threadTime
10,0.5844659805297852
20,1.154604434967041
30,1.7453639507293701
40,2.4475936889648438
50,3.051028251647949
60,3.6419057846069336
70,4.283825397491455
80,4.952069282531738
90,6.4631006717681885
100,6.222958087921143
