n,threadTime
10,0.6405916213989258
20,1.3356411457061768
30,2.0299017429351807
40,2.9081156253814697
50,3.4802134037017822
60,4.590191841125488
70,6.378756523132324
80,7.291232585906982
90,6.57620906829834
100,9.523174285888672
