n,threadTime
10,0.6545517444610596
20,1.390777349472046
30,2.135097026824951
40,2.9191391468048096
50,3.74786114692688
60,4.614469051361084
70,5.29250168800354
80,6.1931633949279785
90,6.908390045166016
100,7.848924398422241
